date,userId,leaveTypeId,approved,approvedMinutes,unpaid,unpaidMinutes,deniedMinutes,deniedDays,pending,pendingMinutes,ptoCost,remaining
2023-05-26,13214599,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-26,13214591,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-26,13214557,4380392,1.0,360.0,1.0,360.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-26,13221155,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2023-05-26,13215753,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-27,13214554,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-27,13214599,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-27,13214591,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-27,13215753,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-28,13214554,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-28,13215753,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-28,13214599,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-28,13214591,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-29,13214554,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-29,13214561,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-29,13221172,4380392,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-29,13215753,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-29,13221155,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2023-05-29,13214599,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-29,13214591,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-30,13221155,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2023-05-30,13215753,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-05-31,13221151,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,10.0
2023-05-31,13221155,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2023-05-31,13215753,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-01,13221155,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
2023-06-01,13215753,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-01,13214539,0,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-02,13214574,4380391,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-02,13226587,4380392,1.0,480.0,1.0,480.0,0.0,0.0,0.0,0.0,0.0,5.0
2023-06-02,13221155,4380390,1.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
