scheduled,scheduledMinutes,lateCount,actual,actualMinutes,group0,group1,group2,date,sickCallout,noShow
1.0,420.0,0.0,1.0,430.0,13221167,13216749,13207005,2023-05-04,,
1.0,330.0,0.0,1.0,352.0,13214554,13208375,13207005,2023-05-04,,
1.0,270.0,0.0,1.0,164.0,13226587,13216742,13207005,2023-05-04,,
1.0,330.0,0.0,1.0,311.0,13221158,13216744,13207005,2023-05-04,,
1.0,480.0,,,,13221157,13208376,13207004,2023-05-04,,
1.0,480.0,,,,13221159,13207018,13216152,2023-05-04,,
1.0,465.0,,,,13216802,13208370,13207004,2023-05-04,,
1.0,480.0,0.0,1.0,458.0,13214572,13208371,13207004,2023-05-05,,
1.0,540.0,0.0,1.0,393.0,13217167,13216739,13207004,2023-05-05,,
1.0,360.0,0.0,1.0,318.0,13218870,13216739,13207005,2023-05-05,,
1.0,465.0,0.0,2.0,685.0,13214581,13208371,13207005,2023-05-05,,
,,0.0,1.0,120.0,13214536,13208371,13207005,2023-05-05,,
1.0,600.0,0.0,1.0,516.0,13214565,13208368,13207004,2023-05-05,,
1.0,510.0,0.0,1.0,388.0,13214615,13208373,13207005,2023-05-05,,
1.0,510.0,0.0,1.0,495.0,13221155,13208373,13207004,2023-05-05,,
1.0,660.0,0.0,1.0,653.0,13221159,13208373,13216152,2023-05-05,,
1.0,660.0,1.0,1.0,616.0,13221166,13208378,13207004,2023-05-05,,
1.0,480.0,0.0,1.0,492.0,13214543,13208373,13207005,2023-05-05,,
1.0,550.0,0.0,1.0,475.0,13221173,13207018,13216152,2023-05-05,,
1.0,480.0,0.0,1.0,490.0,13221156,13208378,13221141,2023-05-05,,
1.0,480.0,0.0,1.0,485.0,13221152,13208378,13221141,2023-05-05,,
1.0,480.0,0.0,1.0,367.0,13221162,13208378,13221141,2023-05-05,,
1.0,510.0,0.0,1.0,540.0,13207019,13207018,13221138,2023-05-05,,
1.0,480.0,1.0,1.0,452.0,13221178,13207018,13221142,2023-05-05,,
1.0,525.0,0.0,1.0,415.0,13214588,13216749,13207004,2023-05-05,,
1.0,533.0,0.0,1.0,493.0,13221153,13216744,13207004,2023-05-05,,
1.0,480.0,0.0,1.0,482.0,13221169,13207018,13221139,2023-05-05,,
1.0,525.0,0.0,1.0,498.0,13214529,13208374,13207004,2023-05-05,,
1.0,480.0,1.0,1.0,225.0,13245713,13208378,13221141,2023-05-05,,
1.0,480.0,1.0,1.0,377.0,13221165,13208378,13221141,2023-05-05,,
1.0,480.0,0.0,1.0,483.0,13218866,13216739,13207005,2023-05-05,,
1.0,480.0,0.0,1.0,482.0,13214556,13208375,13207005,2023-05-05,,
1.0,540.0,1.0,1.0,437.0,13221164,13216742,13207004,2023-05-05,,
1.0,510.0,0.0,1.0,484.0,13221154,13216738,13207005,2023-05-05,,
1.0,225.0,0.0,1.0,541.0,13216802,13208370,13207004,2023-05-05,,
